,sentence1,sentence2,score
797,در زبان مى‏نايد آن حجت بدان‏  همچو حال سر عشق عاشقان‏,شرح عشق ار من بگويم بر دوام‏  صد قيامت بگذرد و آن ناتمام‏,2
798,عقل گردى عقل را دانى كمال‏  عشق گردى عشق را دانى ذبال‏,چون وفا آن عشق افزون مى‏كند  كى وفا صورت دگرگون مى‏كند,3.5
799,عشق و معشوق,"زين چنين قحط سه ساله داد داد		ظل مولانا ابد پاينده باد
",0
800,تقلید,ليك تمثيلى و تصويرى كنند  تا كه دريابد ضعيفى عشقمند,3
801,هوشیاری,پس يقين گشت اين كه بيمارى ترا  مى‏ببخشد هوش و بيدارى ترا,3.5
802,سرپوشی  رازداری,سر در اندازم نه اين دستار خوان‏  ز اعتماد هر كريم راز دان‏,4
803,آن تاسف، و آن فغان و آن نیاز  درگذشتی از دو صد ذکر و نماز,جان شرع و جان تقوى عارف است‏  معرفت محصول زهد سالف است‏,4
804,خداشناسی ,پس حقیقت حق بود معبود کل  کز پی ذوقست سیران سب,4
805,درد آمد بهتر از ملک جهان  تا بخوانی مر خدا را در نهان," 
",0
806,خواب,خواب ناقص عقل و گول آيد كساد  پس ز بى‏عقلى چه باشد خواب باد,4.5
807,استدراج,مست بودند از تماشاى اله‏  و ز عجايبهاى استدراج شاه‏,3.5
808,جنس  هم جنس,در شهیدان یرزقون فرمود حق  آن غذا را نی دهان بد نی طبق,4
809,عشق زنده در روان و در بصر  هر دمی باشد ز غنچه تازه‌تر," 
",0
810,مکر الهی,منكر فعل خداوند جليل‏  هست در انكار مدلول دليل‏,3
811,حکم و قدر,پس چرا ایمن شوی بر رای دل  عهد بندی تا شوی آخر خجل؟,4
812,جهد و کوشش,"جهد مى‏كن تا توانى اى كيا		در طريق انبيا و اوليا
",2.5
813,پس عدم گردم عدم چون ارغنون          گویدم انّا الیه راجعون,"7
",0
814,هستی و خداوند,گفت نه و الله و بالله العظيم‏  مالِكَ الْمُلْكِ‏ و به رحمان و رحيم‏,3.5
815,عشق مجازی و حقیقی,در زبان مى‏نايد آن حجت بدان‏  همچو حال سر عشق عاشقان‏,3
816,استدراج,بى‏نهايت حضرت است اين بارگاه‏  صدر را بگذار صدر تست راه‏,3
817,پس بنای خلق بر اضداد بود  لاجرم ما جنگییم از ضر و سود,"در جهان جان كنم جولان همى‏		بگذرم زين نم در آيم در يمى‏
",0.5
818,امتحان,بعد از آن مى‏گفت هين اى سابقان‏  گر فزون آييد اندر امتحان‏,3.5
819,توکل,هین توکل کن ملرزان پا و دست  رزق تو بر تو ز تو عاشق تر است,5
820,جسم و جان  صورت و معنی,آن تويى كه بى‏بدن دارى بدن‏  پس مترس از جسم و جان بيرون شدن‏,4
821,ولی,کی ببینم روی خود را، ای هجب  تا چه رنگم؟ همچو روزم یا چو شب؟,3
822,ضرورت پیروی از پیر و اولیا,لا يسع فينا نبي مرسل‏  و الملك و الروح ايضا فاعقلوا,3
823,خوف و رجا,از کبد فارغ بدم با روی تو  وز زبد صافی بدم در جوی تو,4
824,ز آتش دل و آب دیده نقل ساز  بوستان از ابر و خورشید است باز,دل ز هر يارى غذايى مى‏خورد  دل ز هر علمى صفايى مى‏برد,4.5
825,گر بخواهی ور نخواهی رزق تو  پیش تو آید دوان از عشق تو,"علم و مال و منصب و جاه و قران‏		فتنه آمد در كف بد گوهران‏
",0
826,دوست نمای فرعی,چون ز گورستان پيمبر باز گشت‏  سوى صديقه شد و هم راز گشت‏,1
827,هیچ نقاشی نگارد زین نقش  بی امید نفع بهر عین نقش,"خون نخسبد بعد مرگت در قصاص‏		تو مگو كه مردم و يابم خلاص‏
",0
828,قهر و لطف,"بر سر ما دست رحمت مى‏نهاد		چشمه‏هاى لطف از ما مى‏گشاد
",3.5
829,حکم و قدر,تا تو عالم باشى و عادل قضا  نامناسب چون دهد داد و سزا,0
830,عنایات حق,تزكيه بايد گواهان را بدان‏  تزكيه‏ش صدقى كه موقوفى به آن‏,2
831,در میان گریه خوابش در ربود  دید در خواب او پیری رونمود,خواب ناقص عقل و گول آيد كساد  پس ز بى‏عقلى چه باشد خواب باد,4.5
832,ظلم,ظلم مستور است در اسرار جان‏  مى‏نهد ظالم به پيش مردمان‏,4
833,هستی و خداوند,وَ هُوَ مَعَكُمْ أَيْنَ ما كُنْتُمْ‏,1
834,ور كه خور را دوست دارد او به جان‏  دوستى خويش باشد بى‏گمان‏,ور وى آن است اين بدن اى دوست چيست‏  اى عجب زين دو كدامين است و كيست‏,3.5
835,عدم," يا حَسْرَةً عَلَى الْعِبادِ
",0
836,فراست,مصطفى صبح آمد و در را گشاد  صبح آن گمراه را او راه داد,3
837,فنا و عشق,عشق و جان هر دو نهانند و ستير  گر عروسش خوانده‏ام عيبى مگير,2.5
838,امتحان الهی,مروحه‏ى تقدير ربانى چرا  پر نباشد ز امتحان و ابتلا,4
839,هستی و خداوند,خويش من و الله كه بهر خويش تو  هر نفس خواهد كه ميرد پيش تو,2
840,یا چو بر درویش، ایام زکات  یا چو بر محبوس پیغام نجات,مردم نفس از درونم در كمين‏  از همه مردم بتر در مكر و كين‏,2.5
841,ور ازين افزون ترا همت بود  از مراقب كار بالاتر رود,زين خيال ره زن راه يقين‏  گشت هفتاد و دو ملت اهل دين‏,2
842,مستی,باز اين مستى شهوت در جهان‏  پيش مستى ملك دان مستهان‏,4
843,خواب,خويش را در خواب كن زين افتكار  سر ز زير خواب در يقظت بر آر,3.5
844,خوف و رجا,ور تو دست اندر مناصب مى‏زنى‏  هم ز ترس است آن كه جانى مى‏كنى‏,3
845,مرگ,كيمياى مرگ و جسك است آن صفت‏  مرگ گردد ز آن حياتت عاقبت‏,4
846,از شراب قهر، چون مستی دهی  نیستها را صورت هستی دهی,حكم حق بر لوح مى‏آيد پديد  آن چنان كه حكم غيب بايزيد,3
847,غربت,فقر از اين رو فخر آمد جاودان‏  كه به تقوى ماند دست نارسان‏,1
848,خیال و وهم و گمان ,عالم وهم و خيال چشم بند  آن چنان كه را ز جاى خويش كند,4
849,مشورت  مصاحبت و همنشینی,تا بخسبى در پناه عاقلى‏  در جوار دوستى صاحب دلى‏,2.5
850,درد داروی کهن را نو کند  درد هر شاخ ملولی خو کن,"هيچ اصلى نيست مانند اثر		پس ندانى اصل رنج و درد سر
",3
851,آواز مطرب و آواز اولیاء,هر كه دور از حالت ايشان بود  پيشش آن آوازها يكسان بود,4
852,جوشش خون,خون شود كه‏ها و باز آن بفسرد  تو نبينى خون شدن كورى و رد,4
853,ظلم,چون كه ما زاديم ظلم آن روز مرد  پس به عهد ما كه ظلمى پيش برد,3
854,نیست کسبی از توکل خوبتر    چیست از تفویض خود محبوبتر,لابه‏ات را هيچ نتوانم شكست‏  ز انكه لابه‏ى تو يقين لابه‏ى من است‏,3
855,بهر این مومن همی گوید ز بیم  در نماز: اهد الصراط المستقیم,كو نشاط و فربهى و فر تو  چيست اين لاغر تن مضطر تو,3
856,رو و سر در جامه ها پیچیده اید  لاجرم با دیده و نادیده اید,لفظ را ماننده‏ى اين جسم دان‏  معنيش را در درون مانند جان‏,5
857,و نمی‌دانی کزین دو کیستی  جهد کن چندانک بینی چیستی,"جهد حق است و دوا حق است و درد		منكر اندر نفى جهدش جهد كرد
",2.5
858,عنایات حق,آلت حقى تو فاعل دست حق‏  چون زنم بر آلت حق طعن و دق‏,3
859,عالم توحید,کو نداند، نقص بر آلت نهد  سنگ بر گل زن تو، آتش کی جهد؟,3
860,"جهد فرعونی, چو بی توفیق بود  هرچه او میدوخت، آن تفتبق بود",رو كسى جو كه ترا او هست دوست‏  دوست بهر دوست لا شك خير جوست‏,3
861,جهد و کوشش,جهد کن کز جام حق یابی نوی  بی‌خود و بی‌اختیار آنگه شوی,5
862,معرفت ذات  معرفت صفات,طاعت عامه گناه خاصگان‏  وصلت عامه حجاب خاص دان‏,3.5
863,حکمت این اضداد را با هم ببست  ای قصاب این گردران با گردنست,"حس دنيا نردبان اين جهان‏		حس دينى نردبان آسمان‏
",1.5
864,امتحان,پس محك مى‏بايدش بگزيده‏اى‏  در حقايق امتحانها ديده‏اى‏,3
865,هستی و خداوند,اين دو را مشهور گردانيد اله‏  تا كه باشد اين دو بر باقى گواه‏,2
866,عالم توحید,تا كه اصل و فصل او را بر دهند  در بيان فضل او منبر نهند,2
867,فنا و عشق,گفت او بهر فنايت ريختم‏  گفت من هم در فنا بگريختم‏,3.5
868,وحدت وجود,"مثنوى ما دكان وحدت است‏		غير واحد هر چه بينى آن بت است‏
",0.5
869,ضد,هين مقابل شو تو و خصم و بگو  پاسخ خصم و بكن دفع عدو,3.5
870,تو مگو ما را بدان شه بار نیست  با کریمان کارها دشوار نیست,"آدمى چون نور گيرد از خدا		هست مسجود ملايك ز اجتبا
",2
